Name,Comment,Time,Likes,Reply Count
Sujal Sen,The price of this i phone is around 80k us dollars.....<br>Zain,2022-09-13T10:31:09Z,1,0
Mohd Zaid,Wow guruji💞💞😊,2022-09-13T08:09:03Z,0,0
Faraz,Kitne ka h be?,2022-09-13T07:52:55Z,0,0
Aniket Mohite,Bhai comments karke ky fayda hum log to etna mehga phone nhi le sakte,2022-09-13T07:23:40Z,0,0
Sukh Mark,$80k,2022-09-13T06:19:34Z,0,0
K.k Mehta,65 lakh,2022-09-13T06:09:09Z,0,0
Mr indian Man,64 lack ki phone 😯,2022-09-13T04:55:44Z,0,0
Koushik Chitrakar,Showoff ka limit hota hai vai.. paisa ka matlab yeah nehi ki showoff kara jai...tumari hisab se to ratan tata ji k pas 100 crore ka iPhone hona chahiye.. most stupid person you are,2022-09-12T16:48:47Z,0,0
Chatrapati Sambhaji Maharaj,Just a single word for this &quot;Dhakad&quot;,2022-09-12T16:38:01Z,0,0
Sharif Noor,bhai mere khyal se iska price up to 60 lac hoga,2022-09-12T14:46:22Z,0,0
MD SAAD,62lakh ka hai,2022-09-12T12:29:32Z,0,0
Upendra choubey Choubey,Wow wonderful phone,2022-09-12T08:57:05Z,1,0
Dilpreet Singh,dhatt teriii................,2022-09-11T23:57:10Z,0,0
Nimesh Rajput,This iphone price is 80000$ in indian price is 67 lakh,2022-09-11T19:34:03Z,0,0
Ankit Chaubey,Nice 👍,2022-09-11T18:45:31Z,0,0
Aman Raj,1 phone  dila  dijiye  please  sir,2022-09-11T18:03:44Z,0,0
Harsh chhikara team Hisar,"<a href=""https://youtube.com/channel/UCJInNnbVqYN6ZUz2a6Z5JEw"">https://youtube.com/channel/UCJInNnbVqYN6ZUz2a6Z5JEw</a>",2022-09-11T17:26:59Z,0,0
Soham Thonte,Price of this phone is 8.4 millions,2022-09-11T13:46:20Z,0,0
ayush jha,Bhai agar mai Shi batau to be honest mere ko bekar laga bro ( my opinion)🤮,2022-09-11T12:26:34Z,1,0
Jaskaran singh,Cool,2022-09-11T12:13:41Z,0,0
Sam Khan,Ambani be like : tera to game bajana padega 🤣🤣,2022-09-11T09:02:34Z,0,0
Arabindhu Madhu,Nice,2022-09-11T08:16:06Z,0,0
Chiranjeevi,He is suneo and m Nobita without Doraemon 🥲,2022-09-11T05:45:44Z,1,0
Fearless 2.O,If you think deeply in this world there is nothing is mine...everything is mine,2022-09-11T04:54:03Z,0,0
Ansh Chaurasiya,Sir hame bhi kabhi gift kr do,2022-09-10T17:35:46Z,0,0
Taha Nagaria,Imagine getting this robbed,2022-09-10T14:10:26Z,0,0
Ritik Chaudhary,Sir iska ₹ 64 LAKH h,2022-09-10T13:34:37Z,0,0
Halim khanu,Ise hum kaise banwa sakte hai iss par puri details video banye plz..,2022-09-10T12:25:29Z,0,0
amit sah,64 lakh rupey ka phone hai,2022-09-10T11:21:23Z,0,0
RAMAN DEOL,65lakh da phone,2022-09-10T07:34:28Z,0,0
Miner,Agar phone chori hogaya to? Gaya pura space guruji ka 😆🤣,2022-09-10T05:12:52Z,1,0
P-Anime,Hit like if your here after the Sandeep Maheshwari video 😂😂😂😂,2022-09-10T04:24:02Z,1,0
GUNJAN BHIL,65 lakhs 😳,2022-09-09T19:07:39Z,0,0
GUNJAN BHIL,Ek 3 bhk flat Aagya bhai is price me or Aap to mobile usd krte how is price main 😂😂😂😂,2022-09-09T19:00:08Z,0,0
Priya Priya,"80,000$",2022-09-09T13:55:05Z,0,0
F L A S H,Nice,2022-09-09T13:10:30Z,1,0
Nitin,SM show k bad phone dekhen liye aaye h<br>.<br>Like,2022-09-09T12:35:50Z,1,0
Yuvraj Nahar,I came here for Gaurav not for I phone,2022-09-09T11:09:10Z,0,0
Amit Wafelkar,Sirji abhi iphone 14 launch hoga toh iss phone kya karoge aap😉,2022-09-09T11:04:30Z,0,1
Rameshwar Ubale,verify kon karega stone asli hain ya nakli...aur kya karte hain ye stone,2022-09-09T10:52:34Z,0,0
JATIN SHUKLA 5...💫,Very nice👍,2022-09-09T10:28:26Z,1,0
Praveen Bhovi,mag safe,2022-09-09T05:47:30Z,0,0
Hedar Khan,64 lakh ka fone h❤,2022-09-08T19:59:46Z,0,0
Solanki Haresh,65lakh ka hai😨,2022-09-08T18:06:05Z,0,0
Vishnu Agarwal,"Iska giveaway karna gaurav, jab 14 ajae🙏",2022-09-08T18:03:48Z,0,0
JOHNY KI LUGAI,Bhai ye back cover Hamare yaha 150rs me milte hai,2022-09-08T17:52:16Z,0,0
TOP MOVIEZ,The price of this phone is 64 lakhs rupees 😍😍 Amazing,2022-09-08T17:14:01Z,8,1
NAMAN Aswal,This I phone is very fantastic  and i can give this phone guruji you have soo cool,2022-09-08T16:46:06Z,1,0
anuj xox,TG - Total Gaming,2022-09-08T16:26:44Z,0,0
Parth Rathod,"Prize -&gt; 64,00,000 pin 📌📍",2022-09-08T14:43:53Z,0,0
stetus king ajaz,64 lakh ka phone 😲😲😲😲,2022-09-08T13:28:32Z,0,0
FS_GAMING_,Hii,2022-09-08T12:41:55Z,0,0
Vicky,Who all came here from Sandeep Maheshwari video😂,2022-09-08T11:53:45Z,1,0
Ankit Jha,64 lakhs 🙏🙏,2022-09-08T08:57:25Z,0,0
MADRID,Price of phone is around 68 lakh said by guruji in sandeep Maheshwari video,2022-09-08T08:48:20Z,0,0
Vishal Seth,Yha sandeep mheswari ke vedio ke bad kon kon aaya h,2022-09-08T07:33:35Z,1,0
ADARSH TIWARi,Nice 🥰 phone sir congratulation 🎉🎉🎉,2022-09-08T07:28:52Z,1,0
Måhtáb Khàń,64 lack ka hain ye iPhone,2022-09-08T05:46:20Z,0,0
Deepu Yadav,Sir ek iphone muje be de do,2022-09-08T04:48:12Z,0,0
tik tok sad feelings $,Sir mara to dream hai,2022-09-08T04:10:22Z,0,0
chipkali 🤑🤑,Faltu hai hmare lie,2022-09-08T04:05:30Z,0,0
chipkali 🤑🤑,Muje to faltu hai,2022-09-08T04:05:19Z,0,0
sunny,Chutiyapaa..1.50lac k phone pe 60lac laga raha hai....<br>Thats means 20 lac ka ghar aur 1 crore ka interior,2022-09-08T03:20:39Z,0,0
umer jadoon,❤️❤️,2022-09-07T20:45:17Z,0,0
Visakh Vijayan,donate money bro ... why waste by buying such stupid stuff.,2022-09-07T20:05:44Z,0,0
Ratan Soni,Sir ji iska resale value kitna milega,2022-09-07T19:37:02Z,0,0
Saif Ansari,😉✌️,2022-09-07T19:04:42Z,0,0
FaiR Brother,Ak hota ha intro or ak hota ha bakwas intro or ak hota ha bohat bohat bakwas intro or wo yahi video ka han,2022-09-07T19:03:59Z,0,0
Thakur Deepansh Singh,And guru ji says his youtube earning is less than his business earning 😂😂,2022-09-07T18:58:48Z,0,0
Naitik Mishra,Price of this phone is ₹6400000 its true,2022-09-07T16:35:40Z,0,0
Mohd Zibran,Bakwas,2022-09-07T15:40:52Z,0,0
utpal7,1 DISLIKE FOR UNNECESSARY THINGS...,2022-09-07T15:17:46Z,0,0
Rita devi,Purana wala I phon muje de do,2022-09-07T10:57:53Z,0,0
Ayush Sutaria,"<a href=""http://www.youtube.com/results?search_query=%23saveshwetabhgangwar"">#SaveShwetabhGangwar</a>",2022-09-07T09:52:19Z,0,0
Sanket Patil,ab nai chal rahi na video,2022-09-07T08:26:46Z,0,0
Sanket Patil,jyada paisa h kya&#39;,2022-09-07T08:26:23Z,0,0
Sanket Patil,bhadave jyada backchodi mat kar,2022-09-07T08:26:09Z,0,0
Raj Khatri,Sir dusra 13 pro muje dedo kya karoge uska ab 😁😁,2022-09-07T06:29:13Z,0,0
Tango Alfa,"Just a waste if money, nothing fantastic.",2022-09-07T00:54:16Z,0,1
Arhan Haque,What is the price ??🥵,2022-09-06T20:39:58Z,0,2
Aadil Jindani,Gajab bhai,2022-09-06T18:24:38Z,0,1
Vicky Chouhan,Guru ji phone to bahut premium hai  apka  or ise ap hi rakh sakte. Bahut bahut badhai apko 😊😊,2022-09-06T18:22:41Z,0,1
Sabbu Kanpuri,Price 6400000,2022-09-06T16:08:39Z,0,1
Vishal Kumar,Bakwas iPhone bakwas phone 😕,2022-09-06T15:23:47Z,1,1
Compute Yourself,"<a href=""https://youtube.com/shorts/KkZ8lgndJEM?feature=share"">https://youtube.com/shorts/KkZ8lgndJEM?feature=share</a>",2022-09-06T14:10:32Z,0,0
manoj bashyal,Flamboyant -TG,2022-09-06T14:08:43Z,0,1
Old Skool,Where to buy? <br>Send me the link <br>Jaldi,2022-09-06T14:07:15Z,0,1
Renu devi,Bakwas lg rha h...😏👍🏻 over over ho gya kuch jyda hi,2022-09-06T13:51:26Z,0,1
Shivraj Sathnoor,How much for this cover sir can you please tell me the cost it will be a pleasure,2022-09-06T12:47:33Z,0,1
Mr. Sudhir Obroy,Sir I am your big fan and I want a picture with you,2022-09-06T12:34:50Z,0,1
1BILLION,"<a href=""https://youtu.be/aQ6TymDXGOQ"">https://youtu.be/aQ6TymDXGOQ</a>",2022-09-06T12:11:08Z,0,0
3551 NEERAJ GAMER,Kon kon sandeep maheshwari sir ki video dekh kar aya like kru ❤️,2022-09-06T10:59:42Z,0,1
Mi Studio gt,This phone cost around 15 lakh rupees,2022-09-06T10:54:31Z,0,1
knowledge sk,"BHAI PAISA HAI TOH SUB TUMHARE SATH HAI OR PAISA NHI TOH KOI APNA NHI ,,,,😔😔😔😔😔😔",2022-09-06T10:44:09Z,1,1
RISHINANCE,"<a href=""http://www.youtube.com/results?search_query=%23saveshwetabhgangwar"">#saveshwetabhgangwar</a>",2022-09-06T07:17:34Z,0,0
Ankit Roy,"Waste of money…. Instead of these no value materials, help someone needy… 🤬😏",2022-09-06T07:17:11Z,0,1
Suprit Kumar,80000$ ka 😶😶😶😶😶🤐🤐🤐🤐🤐,2022-09-06T06:50:20Z,0,1
